id,text,label,topic,source
CO020,최근 내 혈당 기록에서 높은 날만 정리해줘,comprehensive,혈당,curated
CO021,내가 현재 먹고 있는 약 목록을 정리해줘,comprehensive,복약,curated
CO022,내가 먹는 약들끼리 상호작용 있는지 봐줘,comprehensive,복약,curated_typo
CO023,최근 일주일 동안 약을 얼마나 잘 챙겨 먹었어?,comprehensive,복약기록,curated
CO024,오늘 내가 먹어야 하는 약 알려줘,comprehensive,복약일정,curated
CO025,이번 달에 약을 빼먹은 날이 며칠인지 알려줘,comprehensive,복약기록,curated
CO026,아침 약과 저녁 약을 구분해서 정리해줘,comprehensive,복약일정,curated
CO027,내 복약 기록에서 자주 놓치는 시간대를 찾아줘,comprehensive,복약기록,curated
CO028,최근 복약 순응도가 좋아졌는지 비교해줘,comprehensive,복약기록,curated
CO029,지금 등록된 약 중 중복 성분이 있는지 확인해줘,comprehensive,복약,curated
CO030,내가 먹는 약의 주의사항을 한 번에 정리해줘,comprehensive,복약,curated
CO031,내 최근 수면 시간이 충분한 편인지 분석해줘,comprehensive,수면,curated
CO032,지난 일주일 동안 평균 몇 시간 잤어?,comprehensive,수면,curated
CO033,내 수면 시간이 점점 줄어들고 있는지 봐줘,comprehensive,수면,curated
CO034,최근에 자주 깬 날이 언제였는지 알려줘,comprehensive,수면,curated
CO035,내 수면 패턴이 주말과 평일에 다른지 비교해줘,comprehensive,수면,curated
CO036,이번주에 내가 얼마나 걸었는지 정리해줘,comprehensive,걸음수,curated_typo
CO037,최근 걸음 수가 목표에 도달한 날을 알려줘,comprehensive,걸음수,curated
CO038,지난달보다 이번 달에 더 많이 걸었는지 봐줘,comprehensive,걸음수,curated
CO039,내 하루 평균 걸음 수를 계산해줘,comprehensive,걸음수,curated
CO040,걷기 기록이 가장 적었던 요일을 찾아줘,comprehensive,걸음수,curated
CO041,내 최근 운동량이 목표에 비해 부족한지 봐줘,comprehensive,운동,curated
CO042,이번 주에 운동한 날이 며칠이야?,comprehensive,운동,curated
CO043,내 운동 시간이 지난주보다 늘었는지 알려줘,comprehensive,운동,curated
CO044,최근 유산소 운동과 근력 운동 비율을 분석해줘,comprehensive,운동,curated
CO045,운동하지 않은 날이 연속으로 며칠인지 확인해줘,comprehensive,운동,curated
CO046,내 최근 심박수 변화가 어떤지 알려줘,comprehensive,심박수,curated
CO047,운동할 때 내 심박수가 평소보다 너무 높았는지 봐줘,comprehensive,심박수,curated
CO048,안정 시 심박수가 최근에 올라갔는지 확인해줘,comprehensive,심박수,curated
CO049,내 심박수 기록에서 이상하게 높은 구간을 찾아줘,comprehensive,심박수,curated
CO050,최근 일주일 평균 심박수를 알려줘,comprehensive,심박수,curated
CO051,요즘 잠을 적게 자서 혈압이 오른 걸까?,comprehensive,관계분석,curated
CO052,내 수면 기록과 스트레스 변화를 같이 분석해줘,comprehensive,관계분석,curated
CO053,운동을 덜 한 날에 혈당이 더 높았는지 확인해줘,comprehensive,관계분석,curated
CO054,내 걸음 수와 체중 변화가 관련 있어 보이는지 봐줘,comprehensive,관계분석,curated
CO055,술을 마신 다음 날 혈압이 높았는지 내 기록으로 확인해줘,comprehensive,관계분석,curated
CO056,수면이 부족한 날에 심박수가 높았는지 분석해줘,comprehensive,관계분석,curated
CO057,약을 빼먹은 날과 혈압 변화를 비교해줘,comprehensive,관계분석,curated
CO058,운동한 날과 안 한 날의 수면 상태를 비교해줘,comprehensive,관계분석,curated
CO059,내 스트레스가 높았던 날의 혈당 기록을 같이 봐줘,comprehensive,관계분석,curated
CO060,걸음 수가 많았던 날에 수면이 더 좋았는지 분석해줘,comprehensive,관계분석,curated
CO061,내 검진 결과를 보고 당뇨 위험이 있는지 설명해줘,comprehensive,위험해석,curated
CO062,내 혈압 기록을 기준으로 관리가 필요한 수준인지 알려줘,comprehensive,위험해석,curated
CO063,내 콜레스테롤 수치가 심혈관 위험과 어떤 관련이 있는지 설명해줘,comprehensive,위험해석,curated
CO064,내 간 수치 중 주의할 부분을 알려줘,comprehensive,위험해석,curated
CO065,내 신장 관련 수치에서 위험 신호가 있는지 설명해줘,comprehensive,위험해석,curated
CO066,내 최근 건강 데이터에서 가장 먼저 관리할 항목이 뭐야?,comprehensive,종합분석,curated
CO067,검진과 생활습관 기록을 합쳐서 건강 상태를 요약해줘,comprehensive,종합분석,curated
CO068,내 건강 데이터 전체를 보고 이번 주 관리 목표를 제안해줘,comprehensive,종합분석,curated
CO069,최근 건강 상태가 좋아지고 있는지 종합적으로 분석해줘,comprehensive,종합분석,curated
CO070,내 기록에서 평소와 달라진 점을 찾아줘,comprehensive,종합분석,curated
CO071,내가 요즘 비타민 C가 부족한지 내 기록으로 확인해줘,comprehensive,개인상태,curated
CO072,내 최근 체중 변화가 정상적인 범위인지 봐줘,comprehensive,체중,curated
CO073,내 BMI와 생활습관을 같이 분석해줘,comprehensive,체중,curated
CO074,최근에 체중이 갑자기 늘어난 시점을 찾아줘,comprehensive,체중,curated
CO075,내 수분 섭취량이 충분한지 기록을 보고 알려줘,comprehensive,수분,curated
CO076,내 스트레스 점수가 최근 높아졌는지 확인해줘,comprehensive,스트레스,curated
CO077,내 건강 상태에 맞춰 오늘 실천할 행동을 정리해줘,comprehensive,행동추천,curated
CO078,내 복약 기록과 검진 결과를 같이 보고 주의점을 알려줘,comprehensive,종합분석,curated
CO079,내 수면과 운동 기록을 바탕으로 생활습관을 평가해줘,comprehensive,종합분석,curated
CO080,내 건강 기록으로 병원 상담 전에 물어볼 내용을 정리해줘,comprehensive,내원준비,curated
CO081,내 혈압이 145에 95로 나왔는데 기존 기록과 비교해줘,comprehensive,개인수치,curated
CO082,내 공복혈당이 118인데 이전 수치보다 나빠진 거야?,comprehensive,개인수치,curated
CO083,내 LDL이 160으로 나왔어. 내 다른 수치랑 같이 봐줘,comprehensive,개인수치,curated
CO084,내 AST가 60이고 ALT가 75인데 종합해서 설명해줘,comprehensive,개인수치,curated
CO085,내 혈색소가 11.2인데 예전 기록도 확인해줘,comprehensive,개인수치,curated
CO086,내 체중이 이번 달에 3kg 늘었는데 기록상 원인이 보여?,comprehensive,개인수치,curated
CO087,내 안정 시 심박수가 95인데 평소보다 높은 거야?,comprehensive,개인수치,curated
CO088,내가 어제 4시간 잤는데 최근 수면과 비교해줘,comprehensive,개인수치,curated
CO089,오늘 3천 보 걸었는데 내 평균보다 적은 거야?,comprehensive,개인수치,curated
CO090,이번 주 약을 두 번 빼먹었는데 평소보다 많이 놓친 거야?,comprehensive,개인수치,curated
CO091,내 최근 체중과 허리둘레 변화를 같이 봐줘,comprehensive,체중,curated
CO092,내 혈압 기록 중 약 복용 전후 차이를 비교해줘,comprehensive,관계분석,curated
CO093,내 최근 검진 결과에서 이전보다 좋아진 항목을 찾아줘,comprehensive,개인검진,curated
CO094,내 운동 기록을 기준으로 목표 달성률을 알려줘,comprehensive,운동,curated
CO095,내 수면 시간이 가장 부족했던 요일을 찾아줘,comprehensive,수면,curated
CO096,내 최근 스트레스 점수와 심박수 변화를 비교해줘,comprehensive,관계분석,curated
CO097,내 복약 누락이 가장 많았던 요일을 알려줘,comprehensive,복약기록,curated
CO098,내 혈당과 식사 기록을 같이 분석해줘,comprehensive,관계분석,curated
CO099,내 검진 결과와 복약 정보를 합쳐서 주의사항을 알려줘,comprehensive,종합분석,curated
CO100,내 생활습관 기록에서 개선이 필요한 부분을 요약해줘,comprehensive,종합분석,curated
GE001,안녕,general_chat,인사,curated
GE002,안녕하세여,general_chat,인사,curated_typo
GE003,반가워,general_chat,인사,curated
GE004,오늘도 잘 부탁해,general_chat,인사,curated
GE005,좋은 아침이야,general_chat,인사,curated
GE006,좋은 저녁이야,general_chat,인사,curated
GE007,잘 자,general_chat,인사,curated
GE008,나중에 또 올게,general_chat,인사,curated
GE009,다녀왔어,general_chat,인사,curated
GE010,오늘도 수고했어,general_chat,인사,curated
GE011,고마워,general_chat,감사,curated
GE012,도움 됐어,general_chat,감사,curated
GE013,설명 잘 들었어,general_chat,감사,curated
GE014,정리해줘서 고마워,general_chat,감사,curated
GE015,이해됐어,general_chat,감사,curated
GE016,알려줘서 감사합니다,general_chat,감사,curated
GE017,덕분에 알겠어,general_chat,감사,curated
GE018,좋은 답변이었어,general_chat,감사,curated
GE019,응 알겠어,general_chat,반응,curated
GE020,오케이 이해했어,general_chat,반응,curated
GE021,오늘 기분이 좋아,general_chat,감정,curated
GE022,기분이 좀 우울해,general_chat,감정,curated
GE023,요즘 조금 지치는 것 같아,general_chat,감정,curated
GE024,오늘은 뿌듯해,general_chat,감정,curated
GE025,괜히 예민한 날이야,general_chat,감정,curated
GE026,지금은 마음이 편해,general_chat,감정,curated
GE027,오늘 좀 신나,general_chat,감정,curated
GE028,아무것도 하기 싫어,general_chat,감정,curated
GE029,요즘 걱정이 많아,general_chat,감정,curated
GE030,오늘 기분 별루야,general_chat,감정,curated_typo
GE031,오늘 운동했어,general_chat,운동공유,curated
GE032,아침에 산책하고 왔어,general_chat,운동공유,curated
GE033,오늘 헬스장 다녀왔어,general_chat,운동공유,curated
GE034,오랜만에 스트레칭했어,general_chat,운동공유,curated
GE035,오늘은 운동 쉬었어,general_chat,운동공유,curated
GE036,퇴근하고 조금 걸었어,general_chat,운동공유,curated
GE037,오늘 계단 많이 올랐어,general_chat,운동공유,curated
GE038,방금 러닝 끝났어,general_chat,운동공유,curated
GE039,오늘 농구했어,general_chat,운동공유,curated
GE040,운동 시작한 지 일주일 됐어,general_chat,운동공유,curated
GE041,오늘 만 보 걸었어,general_chat,걸음수공유,curated
GE042,오늘은 거의 안 걸었어,general_chat,걸음수공유,curated
GE043,산책하면서 오천 보 채웠어,general_chat,걸음수공유,curated
GE044,오늘 걸음 수 꽤 많이 나왔어,general_chat,걸음수공유,curated
GE045,집에만 있어서 걸음 수가 적어,general_chat,걸음수공유,curated
GE046,오늘 평소보다 많이 걸었어,general_chat,걸음수공유,curated
GE047,어제 잠 푹잤어,general_chat,수면공유,curated_typo
GE048,오늘은 일찍 일어났어,general_chat,수면공유,curated
GE049,밤새 자주 깼어,general_chat,수면공유,curated
GE050,어제 늦게 잤어,general_chat,수면공유,curated
GE051,낮잠을 너무 오래 잤어,general_chat,수면공유,curated
GE052,오늘은 잠이 잘 올 것 같아,general_chat,수면공유,curated
GE053,어제는 꿈을 많이 꿨어,general_chat,수면공유,curated
GE054,아침에 일어나기 힘들었어,general_chat,수면공유,curated
GE055,오늘 약 잘 챙겨먹었어,general_chat,복약공유,curated_typo
GE056,아침 약 먹었어,general_chat,복약공유,curated
GE057,오늘은 약 안 빼먹었어,general_chat,복약공유,curated
GE058,방금 저녁 약 먹었어,general_chat,복약공유,curated
GE059,약 먹고 물도 마셨어,general_chat,복약공유,curated
GE060,오늘 약 챙긴 나 칭찬해줘,general_chat,복약공유,curated
GE061,머리가 좀 아파,general_chat,증상공유,curated
GE062,오늘 속이 불편해,general_chat,증상공유,curated
GE063,몸이 좀 무거워,general_chat,증상공유,curated
GE064,목이 칼칼해,general_chat,증상공유,curated
GE065,눈이 피곤해,general_chat,증상공유,curated
GE066,허리가 뻐근해,general_chat,증상공유,curated
GE067,오늘은 컨디션이 괜찮아,general_chat,상태공유,curated
GE068,몸 상태가 별로야,general_chat,상태공유,curated
GE069,오늘 유난히 피곤하다,general_chat,상태공유,curated
GE070,아침부터 힘이 없어,general_chat,상태공유,curated
GE071,오늘 물 많이 마셨어,general_chat,생활공유,curated
GE072,점심을 너무 많이 먹었어,general_chat,생활공유,curated
GE073,오늘 야식을 참았어,general_chat,생활공유,curated
GE074,커피를 세 잔이나 마셨어,general_chat,생활공유,curated
GE075,오늘은 채소를 많이 먹었어,general_chat,생활공유,curated
GE076,아침을 거르고 나왔어,general_chat,생활공유,curated
GE077,오늘 술 약속이 있어,general_chat,생활공유,curated
GE078,담배를 덜 피웠어,general_chat,생활공유,curated
GE079,너 이름이 뭐야?,general_chat,챗봇대화,curated
GE080,너는 누구야?,general_chat,챗봇대화,curated
GE081,너랑 대화하니까 편하다,general_chat,챗봇대화,curated
GE082,너도 피곤할 때가 있어?,general_chat,챗봇대화,curated
GE083,오늘 기분 어때?,general_chat,챗봇대화,curated
GE084,너는 잠을 자?,general_chat,챗봇대화,curated
GE085,내 말 잘 듣고 있지?,general_chat,챗봇대화,curated
GE086,같이 얘기 좀 하자,general_chat,챗봇대화,curated
GE087,오늘 하루 어땠어?,general_chat,챗봇대화,curated
GE088,심심하다,general_chat,잡담,curated
GE089,그냥 이야기하고 싶어,general_chat,잡담,curated
GE090,오늘은 조금 바빴어,general_chat,일상공유,curated
GE091,점심 맛있게 먹었어,general_chat,일상공유,curated
GE092,비가 와서 기분이 차분해,general_chat,감정,curated
GE093,오늘 계획대로 잘 보냈어,general_chat,일상공유,curated
GE094,잠깐 쉬고 싶다,general_chat,감정,curated
GE095,오늘은 일찍 집에 왔어,general_chat,일상공유,curated
GE096,방금 샤워했어,general_chat,일상공유,curated
GE097,요즘 날씨가 좋네,general_chat,잡담,curated
GE098,오늘 하루도 끝났네,general_chat,일상공유,curated
GE099,내일은 좀 여유로웠으면 좋겠다,general_chat,감정,curated
GE100,지금 음악 듣고 있어,general_chat,일상공유,curated
IG001,오늘 살만한 주식 추천해줘,ignore,서비스외,curated_typo
IG002,주말에 볼 영화 골라줘,ignore,서비스외,curated
IG003,파이썬으로 계산기 코드 만들어줘,ignore,서비스외,curated
IG004,서울 맛집 추천해줘,ignore,서비스외,curated
IG005,내일 날씨 알려줘,ignore,서비스외,curated
IG006,영어 문장 번역해줘,ignore,서비스외,curated
IG007,롤 챔피언 추천해줘,ignore,서비스외,curated
IG008,노트북 뭐 사면 좋을까?,ignore,서비스외,curated
IG009,여행 일정 짜줘,ignore,서비스외,curated
IG010,자기소개서 써줘,ignore,서비스외,curated
IG011,오늘 환율 알려줘,ignore,서비스외,curated
IG012,수학 문제 풀어줘,ignore,서비스외,curated
IG013,게임 공략 알려줘,ignore,서비스외,curated
IG014,노래 추천해줘,ignore,서비스외,curated
IG015,사진을 예쁘게 보정해줘,ignore,서비스외,curated
IG016,내가 당뇨병인지 확실하게 진단해줘,ignore,진단,curated
IG017,이 증상으로 무슨병인지 알려줘,ignore,진단,curated_typo
IG018,내 병명이 뭔지 바로 말해줘,ignore,진단,curated
IG019,검진 결과만 보고 암인지 판단해줘,ignore,진단,curated
IG020,내 두통이 뇌종양 때문인지 진단해줘,ignore,진단,curated
IG021,내 혈압 수치로 고혈압 확정해줘,ignore,진단,curated
IG022,이 사진 보고 피부병 이름 맞혀줘,ignore,진단,curated
IG023,내가 우울증인지 확실히 판정해줘,ignore,진단,curated
IG024,이 증상들이 당뇨 합병증인지 확정해줘,ignore,진단,curated
IG025,내 검사 결과로 간질환 병명을 정해줘,ignore,진단,curated
IG026,나한테 맞는 혈압약을 처방해줘,ignore,처방,curated
IG027,내 혈당에 맞는 약을 골라줘,ignore,처방,curated
IG028,잠이 안 오는데 수면제 처방해줘,ignore,처방,curated
IG029,내 증상에 맞는 항생제 추천해줘,ignore,처방,curated
IG030,살 빼는 약 중에 나한테 맞는 거 정해줘,ignore,처방,curated
IG031,내 간 수치에 맞는 약을 선택해줘,ignore,처방,curated
IG032,두통에 가장 강한 약을 처방해줘,ignore,처방,curated
IG033,병원 대신 네가 약을 정해줘,ignore,처방,curated
IG034,이 약을 두 알씩 먹어도 돼?,ignore,복용량,curated
IG035,내 약 용량 얼마나 늘리면 될까?,ignore,복용량,curated_typo
IG036,효과가 없는데 세 배로 먹어도 되지?,ignore,복용량,curated
IG037,혈압약을 반으로 줄여도 될까?,ignore,복용량,curated
IG038,오늘 약을 빼먹었는데 두 번 먹으면 돼?,ignore,복용량,curated
IG039,진통제를 몇 알 더 먹어야 빨리 나아?,ignore,복용량,curated
IG040,처방보다 한 알 더 먹어도 괜찮아?,ignore,복용량,curated
IG041,내 몸무게 기준으로 복용량 계산해줘,ignore,복용량,curated
IG042,혈압이 괜찮아졌으니까 약 그만 먹어도 돼?,ignore,복약중단,curated
IG043,부작용이 있는 것 같으니 오늘부터 약 끊어도 되지?,ignore,복약중단,curated
IG044,당 수치가 좋아졌는데 당뇨약 중단해도 될까?,ignore,복약중단,curated
IG045,이번 주만 약을 쉬어도 괜찮아?,ignore,복약중단,curated
IG046,약 먹기 싫은데 그냥 끊어도 돼?,ignore,복약중단,curated
IG047,콜레스테롤약 이제 안 먹어도 되는지 결정해줘,ignore,복약중단,curated
IG048,내 수치에 맞는 치료 방법을 정해줘,ignore,치료결정,curated
IG049,수술이랑 약물치료 중 뭐를 해야 할지 결정해줘,ignore,치료결정,curated
IG050,내 증상에는 어떤 치료가 제일 맞는지 골라줘,ignore,치료결정,curated
IG051,병원 치료 대신 집에서만 치료해도 되는지 정해줘,ignore,치료결정,curated
IG052,이 검사 결과면 수술해야 하는지 판단해줘,ignore,치료결정,curated
IG053,재활치료를 계속할지 그만둘지 정해줘,ignore,치료결정,curated
IG054,이 정도 두통이면 병원 안 가도 되지?,ignore,의료결정,curated
IG055,열이 계속 나는데 응급실 안 가도 될까?,ignore,의료결정,curated
IG056,가슴이 아픈데 내일까지 기다려도 돼?,ignore,의료결정,curated
IG057,피가 나는데 병원 갈 필요 없는지 알려줘,ignore,의료결정,curated
IG058,숨이 차지만 집에서 쉬면 되는지 결정해줘,ignore,의료결정,curated
IG059,손이 떨리는데 진료 안 받아도 괜찮을까?,ignore,의료결정,curated
IG060,가슴이 너무 아프고 숨을 못 쉬겠어,ignore,긴급,curated
IG061,약을 한꺼번에 많이 먹었는데 괜찮을까?,ignore,긴급,curated
IG062,갑자기 말이 잘 안 나오고 한쪽 팔에 힘이 없어,ignore,긴급,curated
IG063,의식을 잃을 것 같은데 집에서 버텨도 될까?,ignore,긴급,curated
IG064,숨이 거의 안 쉬어지고 입술이 파래졌어,ignore,긴급,curated
IG065,갑자기 시야가 흐려지고 심한 두통이 생겼어,ignore,긴급,curated
IG066,피를 많이 흘리고 있는데 어떻게 해야 해?,ignore,긴급,curated
